"Type.of.feeding.interaction","Predator_Life_Stage","Regression_Slope","Regression_Intercept","R_squared","F_statistic","p_value"
"insectivorous","larva / juvenile",0.384249046154571,1.56360275195807,0.125577629410638,4.3083628793485,0.0465944025225441
"piscivorous","adult",0.186983761525866,3.21656610218174,0.038593673783944,833.889234606203,8.17917186424771e-180
"piscivorous","juvenile",0.186983761525866,3.21656610218174,0.038593673783944,833.889234606203,8.17917186424771e-180
"piscivorous","larva / juvenile",0.186983761525866,3.21656610218174,0.038593673783944,833.889234606203,8.17917186424771e-180
"piscivorous","postlarva/juvenile",0.186983761525866,3.21656610218174,0.038593673783944,833.889234606203,8.17917186424771e-180
"piscivorous","postlarva",0.186983761525866,3.21656610218174,0.038593673783944,833.889234606203,8.17917186424771e-180
"planktivorous","juvenile",0.867949080014418,3.48142629565411,0.779003197326882,5523.60032111773,0
"planktivorous","adult",0.867949080014418,3.48142629565411,0.779003197326882,5523.60032111773,0
"planktivorous","larva",0.867949080014418,3.48142629565411,0.779003197326882,5523.60032111773,0
"planktivorous","larva / juvenile",0.867949080014418,3.48142629565411,0.779003197326882,5523.60032111773,0
"planktivorous","postlarva/juvenile",0.867949080014418,3.48142629565411,0.779003197326882,5523.60032111773,0
"predacious","juvenile",0.748863686579939,3.20352808863556,0.762251339636381,39730.2705568451,0
"predacious","adult",0.748863686579939,3.20352808863556,0.762251339636381,39730.2705568451,0
"predacious","larva",0.748863686579939,3.20352808863556,0.762251339636381,39730.2705568451,0
"predacious","larva / juvenile",0.748863686579939,3.20352808863556,0.762251339636381,39730.2705568451,0
"predacious","postlarva/juvenile",0.748863686579939,3.20352808863556,0.762251339636381,39730.2705568451,0
"predacious","postlarva",0.748863686579939,3.20352808863556,0.762251339636381,39730.2705568451,0
"predacious/piscivorous","adult",0.531028610582127,2.07757273211364,0.341154098535761,82.3310906945517,4.19117303972455e-16
